"y1999";"y2009";"y2018";"Freq";"area_km2";"Type";"from_1999";"from_2009";"to_2018"
"1";"5";"5";8613;69,7653;"Dynamic";"Water_Bare";"Crop";"Crop"
"6";"6";"2";8429;68,2749;"Dynamic";"Grass";"Grass";"Native"
"4";"4";"6";8246;66,7926;"Dynamic";"Shrub";"Shrub";"Grass"
"1";"1";"2";7920;64,152;"Dynamic";"Water_Bare";"Water_Bare";"Native"
"3";"4";"5";7887;63,8847;"Dynamic";"Plant";"Shrub";"Crop"
"2";"6";"6";7749;62,7669;"Dynamic";"Native";"Grass";"Grass"
"2";"6";"4";7735;62,6535;"Dynamic";"Native";"Grass";"Shrub"
"4";"2";"3";7409;60,0129;"Dynamic";"Shrub";"Native";"Plant"
"5";"2";"5";6675;54,0675;"Dynamic";"Crop";"Native";"Crop"
"6";"6";"5";6638;53,7678;"Dynamic";"Grass";"Grass";"Crop"
"6";"5";"4";6621;53,6301;"Dynamic";"Grass";"Crop";"Shrub"
"1";"4";"1";6569;53,2089;"Dynamic";"Water_Bare";"Shrub";"Water_Bare"
"2";"6";"2";6490;52,569;"Dynamic";"Native";"Grass";"Native"
"2";"5";"2";6331;51,2811;"Dynamic";"Native";"Crop";"Native"
"6";"2";"4";6105;49,4505;"Dynamic";"Grass";"Native";"Shrub"
"5";"4";"2";6089;49,3209;"Dynamic";"Crop";"Shrub";"Native"
"6";"2";"3";5613;45,4653;"Dynamic";"Grass";"Native";"Plant"
"1";"1";"5";5611;45,4491;"Dynamic";"Water_Bare";"Water_Bare";"Crop"
"3";"6";"6";5233;42,3873;"Dynamic";"Plant";"Grass";"Grass"
"2";"2";"1";5193;42,0633;"Dynamic";"Native";"Native";"Water_Bare"
"3";"6";"4";5188;42,0228;"Dynamic";"Plant";"Grass";"Shrub"
"6";"3";"3";5117;41,4477;"Dynamic";"Grass";"Plant";"Plant"
"1";"2";"2";4744;38,4264;"Dynamic";"Water_Bare";"Native";"Native"
"4";"4";"1";4503;36,4743;"Dynamic";"Shrub";"Shrub";"Water_Bare"
"4";"1";"1";4319;34,9839;"Dynamic";"Shrub";"Water_Bare";"Water_Bare"
"5";"6";"5";4215;34,1415;"Dynamic";"Crop";"Grass";"Crop"
"6";"6";"3";4158;33,6798;"Dynamic";"Grass";"Grass";"Plant"
"4";"5";"3";4056;32,8536;"Dynamic";"Shrub";"Crop";"Plant"
"2";"1";"1";3972;32,1732;"Dynamic";"Native";"Water_Bare";"Water_Bare"
"2";"5";"3";3678;29,7918;"Dynamic";"Native";"Crop";"Plant"
"6";"4";"6";3315;26,8515;"Dynamic";"Grass";"Shrub";"Grass"
"4";"3";"5";3213;26,0253;"Dynamic";"Shrub";"Plant";"Crop"
"6";"3";"4";2902;23,5062;"Dynamic";"Grass";"Plant";"Shrub"
"3";"3";"6";2894;23,4414;"Dynamic";"Plant";"Plant";"Grass"
"2";"3";"5";2775;22,4775;"Dynamic";"Native";"Plant";"Crop"
"6";"4";"5";2739;22,1859;"Dynamic";"Grass";"Shrub";"Crop"
"4";"2";"5";2654;21,4974;"Dynamic";"Shrub";"Native";"Crop"
"5";"1";"5";2633;21,3273;"Dynamic";"Crop";"Water_Bare";"Crop"
"3";"3";"8";2631;21,3111;"Dynamic";"Plant";"Plant";"Urban"
"3";"5";"6";2406;19,4886;"Dynamic";"Plant";"Crop";"Grass"
"3";"3";"1";2321;18,8001;"Dynamic";"Plant";"Plant";"Water_Bare"
"3";"5";"2";2275;18,4275;"Dynamic";"Plant";"Crop";"Native"
